日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-06-15,東京,5,メイクデビュー東京,2歳新馬,,1600,芝,稍重,曇,ユマハム,横山典弘,牡2,55.0,10,3,3.9,5,1:38.4,37.1,2.7,450,初出走,750000,,田中博康,Rainbow Quest,中央,条件・未勝利
2025-06-15,阪神,5,メイクデビュー阪神,2歳新馬,,1800,芝,重,曇,ムスクレスト,戸崎圭太,牡2,55.0,8,6,33.9,5,1:50.3,34.2,1.0,452,初出走,750000,,安田翔伍,Temple City,中央,条件・未勝利
2025-06-21,阪神,5,メイクデビュー阪神,2歳新馬,,1400,芝,良,晴,ビッグヒーロー,岩田望来,牡2,55.0,12,1,2.9,3,1:22.7,35.3,0.1,476,初出走,1900000,,福永祐一,Tale of Ekati,中央,条件・未勝利
2025-06-22,東京,5,メイクデビュー東京,2歳新馬,,1600,芝,良,晴,シャルトル,三浦皇成,牡2,55.0,16,3,5.5,5,1:35.8,35.8,1.2,440,初出走,750000,,栗田徹,Uncle Mo,中央,条件・未勝利
2025-06-22,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,晴,バースデイフライト,和田竜二,牝2,55.0,10,9,43.6,3,1:37.5,34.6,0.3,452,初出走,1900000,,新谷功一,War Front,中央,条件・未勝利
2025-06-22,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,晴,オーロラボレアリス,川田将雅,牝2,55.0,10,4,9.7,5,1:37.9,34.7,0.7,458,初出走,750000,,吉岡辰弥,To Honor and Serve,中央,条件・未勝利
2025-06-22,阪神,5,メイクデビュー阪神,2歳新馬,,1600,芝,良,晴,チェリヴェント,松山弘平,牡2,55.0,10,3,7.9,7,1:38.4,35.9,1.2,488,初出走,0,,清水久詞,Seccsessful Appeal,中央,条件・未勝利
2025-06-29,福島,5,メイクデビュー福島,2歳新馬,,1800,芝,良,晴,ジーネキング,大野拓弥,牡2,55.0,13,3,5.4,3,1:50.0,36.7,0.5,478,初出走,1900000,,斎藤誠,Into Mischief,中央,条件・未勝利
2025-07-12,小倉,5,メイクデビュー小倉,2歳新馬牝,,1800,芝,良,晴,ヒメヒオウギ,幸英明,牝2,55.0,12,6,20.0,2,1:51.0,36.7,0.2,396,初出走,3000000,,中竹和也,ステイゴールド,中央,条件・未勝利
2025-07-13,福島,5,メイクデビュー福島,2歳新馬,,1800,芝,良,晴,ルージュボヤージュ,荻野極,牝2,55.0,15,1,2.3,1,1:53.6,35.7,-0.7,468,初出走,7500000,,国枝栄,Orpen,中央,条件・未勝利
2025-07-26,中京,3,2歳未勝利,2歳未勝利,,1600,芝,良,晴,バースデイフライト,川田将雅,牝2,55.0,6,2,2.1,1,1:34.3,34.2,0.0,444,-8,5600000,,新谷功一,War Front,中央,条件・未勝利
